,Title,Company,City,State
0,Machine Learning Data Scientist TS/SCI with Poly $100K- $200k + 15% 401k,Millennial Software ,McLean, VA
1,Data Scientist [Post-Doc Research Fellow],Edison Welding Institute Inc ,Buffalo, NY
2,Data Scientist,A Missions LLC ,United States,
3,Computational Physicist/Data Scientist,Physical Sciences Inc ,Boston, MA
4,Data Scientist,Quiet Professionals LLC ,Doral, FL
5,Statistician,Princeton Consumer Research ,Tampa, FL
6,Data Scientist,Sphinx LLC ,Quantico, VA
7,Data Scientist (Secret Clearance) - Nov 2023,D Air and Space Operations Inc ,Camp Lejeune, NC
8,Cyber Data Scientist,PL Consulting Inc,Chantilly, VA
9,Senior Data Scientist - Cloud,ManTech International Corporation ,Chantilly, VA
10,Sr Data Scientist,HCSC,Chicago, IL
11,Data Scientist,Elite Insurance Partners ,Tampa, FL
12,Sr Data Scientist - Marketing Science,Disney Direct to Consumer ,Santa Monica, CA
13,"Manager, Model Validation",Sallie Mae ,Newark, DE
14,"Data Scientist, Core AI",Indeed ,Remote,
15,Senior Data Scientist,CGI Group Inc ,Austin, TX
16,Autonomous Systems Machine Learning Engineer,Johns Hopkins Applied Physics Laboratory APL ,United States,
17,AI Engineer,Elite Insurance Partners ,Tampa, FL
18,Mathematician,Light  Wonder ,Las Vegas, NV
19,Payments Data Scientist I,FIS ,Cincinnati, OH
20,E-commerce Data Scientist - Health and Wellness - California REMOTE,Stingray Direct ,California,
21,Senior Data Scientist with AI and ML experience in Healthcare,innoVet Health LLC ,United States,
22,Data Analytics Program Management Support,Modern Technology Solutions Inc ,Albuquerque, NM
23,Senior Data Analyst,PCI Government Services ,United States,
24,Mathematical Modeling Software Developer,Northrop Grumman ,Walpole, MA
25,AI Systems Developer,SeeScan Inc ,San Diego, CA
26,TSS Data Scientist,General Dynamics Information Technology ,Bossier City, LA
27,Lead Data Scientist,Comcast ,Philadelphia, PA
28,Data Science and Analytics Operations Research Analyst – Sr. SME -4219,Galapagos Federal Systems LLC ,El Segundo, CA
29,Data Scientist,Kforce ,Juno Beach, FL
30,Data Scientist,National Security Agency ,Fort Meade, MD
31,"Manager, Statistical Programming",Daiichi Sankyo Inc ,Remote,
32,ML Ops Engineer - HSS Orthopedic Data Innovation Lab,Hospital for Special Surgery ,New York, NY
33,"Senior Data Analyst, Marketing and Sales",Servpro Industries LLC ,Gallatin, TN
34,Senior Data Scientist,Beacon Technologies Inc ,Remote,
35,Data Architect,Modern Technology Solutions Inc ,Beavercreek, OH
36,MBSE Engineer / Data Visualization SME,Modern Technology Solutions Inc ,Madison, AL
37,Remote Data Scientist,Martin Brower ,Rosemont, IL
38,Data Scientist,QIAGEN ,Ann Arbor, MI
39,Senior Data Analyst,SOUTH COLLEGE ,Knoxville, TN
40,Software Engineer (IV) – AI Applications,HP ,Spring, TX
41,Senior Developer Technology Engineer - AI,NVIDIA ,Santa Clara, CA
42,Lead Data Engineer (Remote),Blue Cross Blue Shield of Louisiana ,Baton Rouge, LA
43,Data Engineer & AI Developer (Generative AI & LLMs),Inspur USA Inc ,Seattle, WA
44,"Lead Engineer - Big Data Platform/Infra (Hadoop, Spark Streaming, Druid)",Target ,Brooklyn Park, MN
45,Sales Director - Data & AI,Accenture ,Chicago, IL
46,"Senior Manager, Data Intelligence and Analytics - Data Scientist",Bristol Myers Squibb ,Devens, MA
47,Senior Data Analyst,Beacon Health System ,United States,
48,Senior Data Scientist,Peraton ,United States,
49,Data Scientist,University of Utah ,Salt Lake City, UT
50,Sr. Data Scientist,Strive Health ,Denver, CO
51,Senior Data Scientist,Delaware North ,Buffalo, NY
52,Data Scientist,EpochGeo ,Reston, VA
53,Sr Statistician,The Joint Commission ,Oakbrook Terrace, IL
54,"Associate Director, AI/ML Solutions",Daiichi Sankyo Inc ,Basking Ridge, NJ
55,Senior Data Scientist,CACI ,United States,
56,Senior Go To Market (GTM) Specialist – Artificial Intelligence,IBM ,Dallas, TX
